1	Q0	1542	1	43,10837	G14R4
1	Q0	2989	63	30,0662831	G14R4
1	Q0	3011	64	30,065562	G14R4
1	Q0	1590	65	30,0655367	G14R4
1	Q0	2083	66	30,0655367	G14R4
1	Q0	616		67	30,0648156	G14R4
1	Q0	1196	68	30,0647831	G14R4
1	Q0	2167	69	30,0647831	G14R4
1	Q0	2342	70	30,0647831	G14R4
1	Q0	2870	71	30,0647831	G14R4
1	Q0	2950	72	30,0647831	G14R4
1	Q0	3150	73	30,0646348	G14R4
1	Q0	2036	74	30,0640642	G14R4
1	Q0	2061	75	30,0640642	G14R4
1	Q0	3141	76	30,0640642	G14R4
1	Q0	1845	77	30,0640367	G14R4
1	Q0	397		78	30,0638573	G14R4
1	Q0	699		79	30,0638573	G14R4
1	Q0	1088	80	30,0638573	G14R4
1	Q0	1113	81	30,0638573	G14R4
1	Q0	1394	82	30,0638573	G14R4
1	Q0	1810	83	30,0638573	G14R4
1	Q0	1862	84	30,0638573	G14R4
1	Q0	1939	85	30,0638573	G14R4
1	Q0	2053	86	30,0638573	G14R4
1	Q0	695		87	30,0631362	G14R4
1	Q0	1179	88	30,0631362	G14R4
1	Q0	3181	89	30,0630222	G14R4
1	Q0	1506	90	30,0623573	G14R4
1	Q0	2017	91	30,0623573	G14R4
1	Q0	2370	92	30,0623573	G14R4
1	Q0	1647	93	30,0622758	G14R4
1	Q0	409		94	30,0616384	G14R4
1	Q0	1168	95	30,0616384	G14R4
1	Q0	1225	96	30,0616384	G14R4
1	Q0	1391	97	30,0616384	G14R4
1	Q0	1468	98	30,0616384	G14R4
1	Q0	1570	99	30,0616384	G14R4
1	Q0	1854	100	30,0616384	G14R4
1	Q0	1605	101	30,0613661	G14R4
1	Q0	2624	102	30,0613661	G14R4
1	Q0	2343	103	30,05609	G14R4
1	Q0	2288	104	30,0538711	G14R4
1	Q0	3048	105	30,0530698	G14R4
1	Q0	1829	106	30,0528291	G14R4
1	Q0	1844	107	22,02396	G14R4
1	Q0	2188	108	22,0229	G14R4
1	Q0	1719	109	22,02164	G14R4
1	Q0	1747	110	22,02164	G14R4
1	Q0	2542	111	22,02164	G14R4
1	Q0	2311	112	22,0205	G14R4
1	Q0	2344	113	22,0205	G14R4
1	Q0	2379	114	22,0205	G14R4
1	Q0	2812	115	22,0205	G14R4
1	Q0	2955	116	22,0205	G14R4
1	Q0	3087	117	22,0205	G14R4
1	Q0	18		118	22,0202	G14R4
1	Q0	25		119	22,0202	G14R4
1	Q0	59		120	22,0202	G14R4
1	Q0	60		121	22,0202	G14R4
1	Q0	84		122	22,0202	G14R4
1	Q0	86		123	22,0202	G14R4
1	Q0	190		124	22,0202	G14R4
1	Q0	197		125	22,0202	G14R4
1	Q0	238	126	22,0202	G14R4
1	Q0	239	127	22,0202	G14R4
1	Q0	271	128	22,0202	G14R4
1	Q0	275	129	22,0202	G14R4
1	Q0	277	130	22,0202	G14R4
1	Q0	294	131	22,0202	G14R4
1	Q0	334	132	22,0202	G14R4
1	Q0	391	133	22,0202	G14R4
1	Q0	398	134	22,0202	G14R4
1	Q0	438	135	22,0202	G14R4
1	Q0	439	136	22,0202	G14R4
1	Q0	586	137	22,0202	G14R4
1	Q0	594	138	22,0202	G14R4
1	Q0	597	139	22,0202	G14R4
1	Q0	618	140	22,0202	G14R4
1	Q0	619	141	22,0202	G14R4
1	Q0	633	142	22,0202	G14R4
1	Q0	643	143	22,0202	G14R4
1	Q0	651	144	22,0202	G14R4
1	Q0	652	145	22,0202	G14R4
1	Q0	656	146	22,0202	G14R4
1	Q0	795	147	22,0202	G14R4
1	Q0	798	148	22,0202	G14R4
1	Q0	891	149	22,0202	G14R4
1	Q0	987	150	22,0202	G14R4
1	Q0	1070	151	22,0202	G14R4
1	Q0	1181	152	22,0202	G14R4
1	Q0	1279	153	22,0202	G14R4
1	Q0	1360	154	22,0202	G14R4
1	Q0	1461	155	22,0202	G14R4
1	Q0	1467	156	22,0202	G14R4
1	Q0	1511	157	22,0202	G14R4
1	Q0	1617	158	22,0202	G14R4
1	Q0	1755	159	22,0202	G14R4
1	Q0	1848	160	22,0202	G14R4
1	Q0	1852	161	22,0202	G14R4
1	Q0	1996	162	22,0202	G14R4
1	Q0	2034	163	22,0202	G14R4
1	Q0	2070	164	22,0202	G14R4
1	Q0	2075	165	22,0202	G14R4
1	Q0	2114	166	22,0202	G14R4
1	Q0	2143	167	22,0202	G14R4
1	Q0	2158	168	22,0202	G14R4
1	Q0	2236	169	22,0202	G14R4
1	Q0	2389	170	22,0202	G14R4
1	Q0	2399	171	22,0202	G14R4
1	Q0	2514	172	22,0202	G14R4
1	Q0	2570	173	22,0202	G14R4
1	Q0	2578	174	22,0202	G14R4
1	Q0	2631	175	22,0202	G14R4
1	Q0	2718	176	22,0202	G14R4
1	Q0	2753	177	22,0202	G14R4
1	Q0	2759	178	22,0202	G14R4
1	Q0	2796	179	22,0202	G14R4
1	Q0	2818	180	22,0202	G14R4
1	Q0	2875	181	22,0202	G14R4
1	Q0	2917	182	22,0202	G14R4
1	Q0	2965	183	22,0202	G14R4
1	Q0	2971	184	22,0202	G14R4
1	Q0	2992	185	22,0202	G14R4
1	Q0	2995	186	22,0202	G14R4
1	Q0	3027	187	22,0202	G14R4
1	Q0	3168	188	22,0202	G14R4
1	Q0	3169	189	22,0202	G14R4
1	Q0	3202	190	22,0202	G14R4
1	Q0	202	191	22,01948	G14R4
1	Q0	322	192	22,01948	G14R4
1	Q0	854	193	22,01948	G14R4
1	Q0	1032	194	22,01948	G14R4
1	Q0	1071	195	22,01948	G14R4
1	Q0	1083	196	22,01948	G14R4
1	Q0	1387	197	22,01948	G14R4
1	Q0	1482	198	22,01948	G14R4
1	Q0	1505	199	22,01948	G14R4
1	Q0	1533	200	22,01948	G14R4
1	Q0	1534	201	22,01948	G14R4
1	Q0	1626	202	22,01948	G14R4
1	Q0	1652	203	22,01948	G14R4
1	Q0	1677	204	22,01948	G14R4
1	Q0	1748	205	22,01948	G14R4
1	Q0	1754	206	22,01948	G14R4
1	Q0	1892	207	22,01948	G14R4
1	Q0	1924	208	22,01948	G14R4
1	Q0	1938	209	22,01948	G14R4
1	Q0	1959	210	22,01948	G14R4
1	Q0	1960	211	22,01948	G14R4
1	Q0	2003	212	22,01948	G14R4
1	Q0	2065	213	22,01948	G14R4
1	Q0	2219	214	22,01948	G14R4
1	Q0	2247	215	22,01948	G14R4
1	Q0	2314	216	22,01948	G14R4
1	Q0	2318	217	22,01948	G14R4
1	Q0	2321	218	22,01948	G14R4
1	Q0	2501	219	22,01948	G14R4
1	Q0	2525	220	22,01948	G14R4
1	Q0	2597	221	22,01948	G14R4
1	Q0	2629	222	22,01948	G14R4
1	Q0	2740	223	22,01948	G14R4
1	Q0	2747	224	22,01948	G14R4
1	Q0	2786	225	22,01948	G14R4
1	Q0	2868	226	22,01948	G14R4
1	Q0	2947	227	22,01948	G14R4
1	Q0	3050	228	22,01948	G14R4
1	Q0	3070	229	22,01948	G14R4
1	Q0	3072	230	22,01948	G14R4
1	Q0	3078	231	22,01948	G14R4
1	Q0	3147	232	22,01948	G14R4
1	Q0	104	233	22,0187	G14R4
1	Q0	252	234	22,0187	G14R4
1	Q0	855	235	22,0187	G14R4
1	Q0	1012	236	22,0187	G14R4
1	Q0	1046	237	22,0187	G14R4
1	Q0	1247	238	22,0187	G14R4
1	Q0	1252	239	22,0187	G14R4
1	Q0	1304	240	22,0187	G14R4
1	Q0	1309	241	22,0187	G14R4
1	Q0	1514	242	22,0187	G14R4
1	Q0	1589	243	22,0187	G14R4
1	Q0	1744	244	22,0187	G14R4
1	Q0	1877	245	22,0187	G14R4
1	Q0	1901	246	22,0187	G14R4
1	Q0	1910	247	22,0187	G14R4
1	Q0	1931	248	22,0187	G14R4
1	Q0	2168	249	22,0187	G14R4
1	Q0	2169	250	22,0187	G14R4
1	Q0	2245	251	22,0187	G14R4
1	Q0	2262	252	22,0187	G14R4
1	Q0	2423	253	22,0187	G14R4
1	Q0	2452	254	22,0187	G14R4
1	Q0	2561	255	22,0187	G14R4
1	Q0	2667	256	22,0187	G14R4
1	Q0	2768	257	22,0187	G14R4
1	Q0	2845	258	22,0187	G14R4
1	Q0	2867	259	22,0187	G14R4
1	Q0	3131	260	22,0187	G14R4
1	Q0	3144	261	22,0187	G14R4
1	Q0	1264	262	22,01854	G14R4
1	Q0	1749	263	22,01854	G14R4
1	Q0	1750	264	22,01854	G14R4
1	Q0	2002	265	22,01854	G14R4
1	Q0	2345	266	22,01854	G14R4
1	Q0	2479	267	22,01854	G14R4
1	Q0	2541	268	22,01854	G14R4
1	Q0	2798	269	22,01854	G14R4
1	Q0	2859	270	22,01854	G14R4
1	Q0	2882	271	22,01854	G14R4
1	Q0	2948	272	22,01854	G14R4
1	Q0	3012	273	22,01854	G14R4
1	Q0	3025	274	22,01854	G14R4
1	Q0	71	275	22,01798	G14R4
1	Q0	944	276	22,01798	G14R4
1	Q0	1003	277	22,01798	G14R4
1	Q0	1233	278	22,01798	G14R4
1	Q0	1267	279	22,01798	G14R4
1	Q0	1428	280	22,01798	G14R4
1	Q0	1432	281	22,01798	G14R4
1	Q0	1441	282	22,01798	G14R4
1	Q0	1464	283	22,01798	G14R4
1	Q0	1473	284	22,01798	G14R4
1	Q0	1515	285	22,01798	G14R4
1	Q0	1541	286	22,01798	G14R4
1	Q0	1636	287	22,01798	G14R4
1	Q0	1653	288	22,01798	G14R4
1	Q0	1712	289	22,01798	G14R4
1	Q0	1713	290	22,01798	G14R4
1	Q0	1734	291	22,01798	G14R4
1	Q0	1781	292	22,01798	G14R4
1	Q0	1826	293	22,01798	G14R4
1	Q0	1880	294	22,01798	G14R4
1	Q0	2087	295	22,01798	G14R4
1	Q0	2165	296	22,01798	G14R4
1	Q0	2209	297	22,01798	G14R4
1	Q0	2228	298	22,01798	G14R4
1	Q0	2405	299	22,01798	G14R4
1	Q0	2577	300	22,01798	G14R4
1	Q0	2583	301	22,01798	G14R4
1	Q0	2642	302	22,01798	G14R4
1	Q0	2684	303	22,01798	G14R4
1	Q0	2689	304	22,01798	G14R4
1	Q0	2690	305	22,01798	G14R4
1	Q0	2817	306	22,01798	G14R4
1	Q0	2820	307	22,01798	G14R4
1	Q0	2853	308	22,01798	G14R4
1	Q0	2876	309	22,01798	G14R4
1	Q0	3021	310	22,01798	G14R4
1	Q0	3024	311	22,01798	G14R4
1	Q0	3119	312	22,01798	G14R4
1	Q0	1484	313	22,0177	G14R4
1	Q0	1518	314	22,0177	G14R4
1	Q0	1519	315	22,0177	G14R4
1	Q0	1853	316	22,0177	G14R4
1	Q0	2105	317	22,0177	G14R4
1	Q0	2153	318	22,0177	G14R4
1	Q0	2380	319	22,0177	G14R4
1	Q0	2398	320	22,0177	G14R4
1	Q0	2407	321	22,0177	G14R4
1	Q0	2424	322	22,0177	G14R4
1	Q0	2535	323	22,0177	G14R4
1	Q0	2560	324	22,0177	G14R4
1	Q0	2741	325	22,0177	G14R4
1	Q0	2840	326	22,0177	G14R4
1	Q0	2852	327	22,0177	G14R4
1	Q0	2878	328	22,0177	G14R4
1	Q0	2984	329	22,0177	G14R4
1	Q0	3068	330	22,0177	G14R4
1	Q0	3076	331	22,0177	G14R4
1	Q0	3089	332	22,0177	G14R4
1	Q0	3153	333	22,0177	G14R4
1	Q0	585	334	22,01694	G14R4
1	Q0	696	335	22,01694	G14R4
1	Q0	972	336	22,01694	G14R4
1	Q0	1173	337	22,01694	G14R4
1	Q0	1194	338	22,01694	G14R4
1	Q0	1238	339	22,01694	G14R4
1	Q0	1341	340	22,01694	G14R4
1	Q0	1347	341	22,01694	G14R4
1	Q0	1462	342	22,01694	G14R4
1	Q0	1523	343	22,01694	G14R4
1	Q0	1657	344	22,01694	G14R4
1	Q0	1695	345	22,01694	G14R4
1	Q0	1752	346	22,01694	G14R4
1	Q0	1912	347	22,01694	G14R4
1	Q0	1937	348	22,01694	G14R4
1	Q0	2080	349	22,01694	G14R4
1	Q0	2111	350	22,01694	G14R4
1	Q0	2127	351	22,01694	G14R4
1	Q0	2138	352	22,01694	G14R4
1	Q0	2378	353	22,01694	G14R4
1	Q0	2697	354	22,01694	G14R4
1	Q0	2811	355	22,01694	G14R4
1	Q0	2959	356	22,01694	G14R4
1	Q0	3049	357	22,01694	G14R4
1	Q0	3082	358	22,01694	G14R4
1	Q0	3127	359	22,01694	G14R4
1	Q0	3137	360	22,01694	G14R4
1	Q0	3180	361	22,01694	G14R4
1	Q0	1145	362	20,0897552	G14R4
1	Q0	39	363	20,0201926	G14R4
1	Q0	40	364	20,0201926	G14R4
1	Q0	242	365	20,0201926	G14R4
1	Q0	243	366	20,0201926	G14R4
1	Q0	251	367	20,0201926	G14R4
1	Q0	276	368	20,0201926	G14R4
1	Q0	282	369	20,0201926	G14R4
1	Q0	300	370	20,0201926	G14R4
1	Q0	320	371	20,0201926	G14R4
1	Q0	367	372	20,0201926	G14R4
1	Q0	396	373	20,0201926	G14R4
1	Q0	533	374	20,0201926	G14R4
1	Q0	670	375	20,0201926	G14R4
1	Q0	675	376	20,0201926	G14R4
1	Q0	698	377	20,0201926	G14R4
1	Q0	724	378	20,0201926	G14R4
1	Q0	822	379	20,0201926	G14R4
1	Q0	860	380	20,0201926	G14R4
1	Q0	963	381	20,0201926	G14R4
1	Q0	964	382	20,0201926	G14R4
1	Q0	980	383	20,0201926	G14R4
1	Q0	1006	384	20,0201926	G14R4
1	Q0	1010	385	20,0201926	G14R4
1	Q0	1043	386	20,0201926	G14R4
1	Q0	1087	387	20,0201926	G14R4
1	Q0	1097	388	20,0201926	G14R4
1	Q0	1099	389	20,0201926	G14R4
1	Q0	1110	390	20,0201926	G14R4
1	Q0	1165	391	20,0201926	G14R4
1	Q0	1199	392	20,0201926	G14R4
1	Q0	1255	393	20,0201926	G14R4
1	Q0	1261	394	20,0201926	G14R4
1	Q0	1270	395	20,0201926	G14R4
1	Q0	1274	396	20,0201926	G14R4
1	Q0	1332	397	20,0201926	G14R4
1	Q0	1334	398	20,0201926	G14R4
1	Q0	1345	399	20,0201926	G14R4
1	Q0	1349	400	20,0201926	G14R4
1	Q0	1365	401	20,0201926	G14R4
1	Q0	1386	402	20,0201926	G14R4
1	Q0	1396	403	20,0201926	G14R4
1	Q0	1401	404	20,0201926	G14R4
1	Q0	1409	405	20,0201926	G14R4
1	Q0	1439	406	20,0201926	G14R4
1	Q0	1444	407	20,0201926	G14R4
1	Q0	1453	408	20,0201926	G14R4
1	Q0	1456	409	20,0201926	G14R4
1	Q0	1457	410	20,0201926	G14R4
1	Q0	1458	411	20,0201926	G14R4
1	Q0	1459	412	20,0201926	G14R4
1	Q0	1463	413	20,0201926	G14R4
1	Q0	1469	414	20,0201926	G14R4
1	Q0	1470	415	20,0201926	G14R4
1	Q0	1471	416	20,0201926	G14R4
1	Q0	1485	417	20,0201926	G14R4
1	Q0	1486	418	20,0201926	G14R4
1	Q0	1487	419	20,0201926	G14R4
1	Q0	1507	420	20,0201926	G14R4
1	Q0	1516	421	20,0201926	G14R4
1	Q0	1517	422	20,0201926	G14R4
1	Q0	1525	423	20,0201926	G14R4
1	Q0	1526	424	20,0201926	G14R4
1	Q0	1549	425	20,0201926	G14R4
1	Q0	1604	426	20,0201926	G14R4
1	Q0	1611	427	20,0201926	G14R4
1	Q0	1616	428	20,0201926	G14R4
1	Q0	1623	429	20,0201926	G14R4
1	Q0	1631	430	20,0201926	G14R4
1	Q0	1651	431	20,0201926	G14R4
1	Q0	1670	432	20,0201926	G14R4
1	Q0	1676	433	20,0201926	G14R4
1	Q0	1692	434	20,0201926	G14R4
1	Q0	1708	435	20,0201926	G14R4
1	Q0	1710	436	20,0201926	G14R4
1	Q0	1711	437	20,0201926	G14R4
1	Q0	1740	438	20,0201926	G14R4
1	Q0	1742	439	20,0201926	G14R4
1	Q0	1753	440	20,0201926	G14R4
1	Q0	1756	441	20,0201926	G14R4
1	Q0	1766	442	20,0201926	G14R4
1	Q0	1792	443	20,0201926	G14R4
1	Q0	1828	444	20,0201926	G14R4
1	Q0	1835	445	20,0201926	G14R4
1	Q0	1886	446	20,0201926	G14R4
1	Q0	1891	447	20,0201926	G14R4
1	Q0	1926	448	20,0201926	G14R4
1	Q0	1927	449	20,0201926	G14R4
1	Q0	1935	450	20,0201926	G14R4
1	Q0	1946	451	20,0201926	G14R4
1	Q0	1947	452	20,0201926	G14R4
1	Q0	1977	453	20,0201926	G14R4
1	Q0	1989	454	20,0201926	G14R4
1	Q0	1998	455	20,0201926	G14R4
1	Q0	2004	456	20,0201926	G14R4
1	Q0	2015	457	20,0201926	G14R4
1	Q0	2030	458	20,0201926	G14R4
1	Q0	2069	459	20,0201926	G14R4
1	Q0	2084	460	20,0201926	G14R4
1	Q0	2091	461	20,0201926	G14R4
1	Q0	2099	462	20,0201926	G14R4
1	Q0	2113	463	20,0201926	G14R4
1	Q0	2130	464	20,0201926	G14R4
1	Q0	2152	465	20,0201926	G14R4
1	Q0	2162	466	20,0201926	G14R4
1	Q0	2166	467	20,0201926	G14R4
1	Q0	2181	468	20,0201926	G14R4
1	Q0	2189	469	20,0201926	G14R4
1	Q0	2202	470	20,0201926	G14R4
1	Q0	2211	471	20,0201926	G14R4
1	Q0	2221	472	20,0201926	G14R4
1	Q0	2268	473	20,0201926	G14R4
1	Q0	2277	474	20,0201926	G14R4
1	Q0	2301	475	20,0201926	G14R4
1	Q0	2305	476	20,0201926	G14R4
1	Q0	2306	477	20,0201926	G14R4
1	Q0	2309	478	20,0201926	G14R4
1	Q0	2323	479	20,0201926	G14R4
1	Q0	2325	480	20,0201926	G14R4
1	Q0	2327	481	20,0201926	G14R4
1	Q0	2329	482	20,0201926	G14R4
1	Q0	2353	483	20,0201926	G14R4
1	Q0	2359	484	20,0201926	G14R4
1	Q0	2365	485	20,0201926	G14R4
1	Q0	2374	486	20,0201926	G14R4
1	Q0	2377	487	20,0201926	G14R4
1	Q0	2394	488	20,0201926	G14R4
1	Q0	2421	489	20,0201926	G14R4
1	Q0	2481	490	20,0201926	G14R4
1	Q0	2485	491	20,0201926	G14R4
1	Q0	2486	492	20,0201926	G14R4
1	Q0	2496	493	20,0201926	G14R4
1	Q0	2498	494	20,0201926	G14R4
1	Q0	2499	495	20,0201926	G14R4
1	Q0	2502	496	20,0201926	G14R4
1	Q0	2517	497	20,0201926	G14R4
1	Q0	2533	498	20,0201926	G14R4
1	Q0	2553	499	20,0201926	G14R4
1	Q0	2571	500	20,0201926	G14R4
1	Q0	2593	501	20,0201926	G14R4
1	Q0	2604	502	20,0201926	G14R4
1	Q0	2616	503	20,0201926	G14R4
1	Q0	2618	504	20,0201926	G14R4
1	Q0	2623	505	20,0201926	G14R4
1	Q0	2627	506	20,0201926	G14R4
1	Q0	2634	507	20,0201926	G14R4
1	Q0	2644	508	20,0201926	G14R4
1	Q0	2645	509	20,0201926	G14R4
1	Q0	2646	510	20,0201926	G14R4
1	Q0	2650	511	20,0201926	G14R4
1	Q0	2680	512	20,0201926	G14R4
1	Q0	2700	513	20,0201926	G14R4
1	Q0	2711	514	20,0201926	G14R4
1	Q0	2715	515	20,0201926	G14R4
1	Q0	2719	516	20,0201926	G14R4
1	Q0	2720	517	20,0201926	G14R4
1	Q0	2722	518	20,0201926	G14R4
1	Q0	2733	519	20,0201926	G14R4
1	Q0	2735	520	20,0201926	G14R4
1	Q0	2739	521	20,0201926	G14R4
1	Q0	2758	522	20,0201926	G14R4
1	Q0	2765	523	20,0201926	G14R4
1	Q0	2777	524	20,0201926	G14R4
1	Q0	2794	525	20,0201926	G14R4
1	Q0	2805	526	20,0201926	G14R4
1	Q0	2807	527	20,0201926	G14R4
1	Q0	2828	528	20,0201926	G14R4
1	Q0	2829	529	20,0201926	G14R4
1	Q0	2838	530	20,0201926	G14R4
1	Q0	2846	531	20,0201926	G14R4
1	Q0	2848	532	20,0201926	G14R4
1	Q0	2850	533	20,0201926	G14R4
1	Q0	2860	534	20,0201926	G14R4
1	Q0	2863	535	20,0201926	G14R4
1	Q0	2865	536	20,0201926	G14R4
1	Q0	2871	537	20,0201926	G14R4
1	Q0	2914	538	20,0201926	G14R4
1	Q0	2918	539	20,0201926	G14R4
1	Q0	2924	540	20,0201926	G14R4
1	Q0	2936	541	20,0201926	G14R4
1	Q0	2938	542	20,0201926	G14R4
1	Q0	2946	543	20,0201926	G14R4
1	Q0	2949	544	20,0201926	G14R4
1	Q0	2954	545	20,0201926	G14R4
1	Q0	2967	546	20,0201926	G14R4
1	Q0	2970	547	20,0201926	G14R4
1	Q0	2972	548	20,0201926	G14R4
1	Q0	2979	549	20,0201926	G14R4
1	Q0	3000	550	20,0201926	G14R4
1	Q0	3001	551	20,0201926	G14R4
1	Q0	3006	552	20,0201926	G14R4
1	Q0	3016	553	20,0201926	G14R4
1	Q0	3052	554	20,0201926	G14R4
1	Q0	3067	555	20,0201926	G14R4
1	Q0	3071	556	20,0201926	G14R4
1	Q0	3088	557	20,0201926	G14R4
1	Q0	3105	558	20,0201926	G14R4
1	Q0	3117	559	20,0201926	G14R4
1	Q0	3121	560	20,0201926	G14R4
1	Q0	3124	561	20,0201926	G14R4
1	Q0	3125	562	20,0201926	G14R4
1	Q0	3148	563	20,0201926	G14R4
1	Q0	3177	564	20,0201926	G14R4
1	Q0	3204	565	20,0201926	G14R4
1	Q0	284	566	20,0194715	G14R4
1	Q0	1034	567	20,0194715	G14R4
1	Q0	1066	568	20,0194715	G14R4
1	Q0	1307	569	20,0194715	G14R4
1	Q0	1664	570	20,0194715	G14R4
1	Q0	1665	571	20,0194715	G14R4
1	Q0	1811	572	20,0194715	G14R4
1	Q0	1908	573	20,0194715	G14R4
1	Q0	1951	574	20,0194715	G14R4
1	Q0	1978	575	20,0194715	G14R4
1	Q0	2218	576	20,0194715	G14R4
1	Q0	2274	577	20,0194715	G14R4
1	Q0	2375	578	20,0194715	G14R4
1	Q0	2390	579	20,0194715	G14R4
1	Q0	2406	580	20,0194715	G14R4
1	Q0	2435	581	20,0194715	G14R4
1	Q0	2439	582	20,0194715	G14R4
1	Q0	2730	583	20,0194715	G14R4
1	Q0	2750	584	20,0194715	G14R4
1	Q0	2888	585	20,0194715	G14R4
1	Q0	2894	586	20,0194715	G14R4
1	Q0	2920	587	20,0194715	G14R4
1	Q0	2928	588	20,0194715	G14R4
1	Q0	3128	589	20,0194715	G14R4
1	Q0	3157	590	20,0194715	G14R4
1	Q0	46	591	20,0186926	G14R4
1	Q0	617	592	20,0186926	G14R4
1	Q0	671	593	20,0186926	G14R4
1	Q0	731	594	20,0186926	G14R4
1	Q0	1030	595	20,0186926	G14R4
1	Q0	1325	596	20,0186926	G14R4
1	Q0	1380	597	20,0186926	G14R4
1	Q0	1476	598	20,0186926	G14R4
1	Q0	1489	599	20,0186926	G14R4
1	Q0	1543	600	20,0186926	G14R4
1	Q0	1681	601	20,0186926	G14R4
1	Q0	1698	602	20,0186926	G14R4
1	Q0	1751	603	20,0186926	G14R4
1	Q0	1774	604	20,0186926	G14R4
1	Q0	2016	605	20,0186926	G14R4
1	Q0	2020	606	20,0186926	G14R4
1	Q0	2064	607	20,0186926	G14R4
1	Q0	2095	608	20,0186926	G14R4
1	Q0	2163	609	20,0186926	G14R4
1	Q0	2308	610	20,0186926	G14R4
1	Q0	2482	611	20,0186926	G14R4
1	Q0	2519	612	20,0186926	G14R4
1	Q0	2582	613	20,0186926	G14R4
1	Q0	2621	614	20,0186926	G14R4
1	Q0	3028	615	20,0186926	G14R4
1	Q0	3059	616	20,0186926	G14R4
1	Q0	3080	617	20,0186926	G14R4
1	Q0	3092	618	20,0186926	G14R4
1	Q0	3142	619	20,0186926	G14R4
1	Q0	3174	620	20,0186926	G14R4
1	Q0	3183	621	20,0186926	G14R4
1	Q0	2151	622	20,0185443	G14R4
1	Q0	2470	623	20,0185443	G14R4
1	Q0	2522	624	20,0185443	G14R4
1	Q0	2622	625	20,0185443	G14R4
1	Q0	3090	626	20,0185443	G14R4
1	Q0	144	627	20,0179737	G14R4
1	Q0	417	628	20,0179737	G14R4
1	Q0	440	629	20,0179737	G14R4
1	Q0	728	630	20,0179737	G14R4
1	Q0	730	631	20,0179737	G14R4
1	Q0	851	632	20,0179737	G14R4
1	Q0	971	633	20,0179737	G14R4
1	Q0	1160	634	20,0179737	G14R4
1	Q0	1290	635	20,0179737	G14R4
1	Q0	1308	636	20,0179737	G14R4
1	Q0	1388	637	20,0179737	G14R4
1	Q0	1415	638	20,0179737	G14R4
1	Q0	1427	639	20,0179737	G14R4
1	Q0	1472	640	20,0179737	G14R4
1	Q0	1502	641	20,0179737	G14R4
1	Q0	1552	642	20,0179737	G14R4
1	Q0	1627	643	20,0179737	G14R4
1	Q0	1684	644	20,0179737	G14R4
1	Q0	1721	645	20,0179737	G14R4
1	Q0	1741	646	20,0179737	G14R4
1	Q0	1745	647	20,0179737	G14R4
1	Q0	1767	648	20,0179737	G14R4
1	Q0	1788	649	20,0179737	G14R4
1	Q0	1805	650	20,0179737	G14R4
1	Q0	1808	651	20,0179737	G14R4
1	Q0	1824	652	20,0179737	G14R4
1	Q0	1856	653	20,0179737	G14R4
